,Arsenal,Aston Villa,Bournemouth,Brentford,Brighton & Hove Albion,Chelsea,Coventry City,Crystal Palace,Everton,Fulham,Hull City,Ipswich Town,Leeds United,Liverpool,Manchester City,Manchester United,Newcastle United,Nottingham Forest,Sunderland,Tottenham Hotspur
Arsenal,0.0,161.3,151.21,14.39,77.1,9.95,137.38,17.49,285.68,11.85,244.27,102.56,266.13,284.2,256.86,258.5,393.41,169.05,383.12,6.19
Aston Villa,161.3,0.0,197.27,157.34,221.29,162.78,27.22,174.51,126.41,161.83,170.76,212.17,142.59,125.28,110.32,109.5,274.79,69.71,269.44,159.9
Bournemouth,151.21,197.27,0.0,136.94,124.14,141.81,191.92,142.95,309.49,139.66,349.42,253.69,338.79,309.38,306.53,304.89,471.72,249.9,465.68,156.8
Brentford,14.39,157.34,136.94,0.0,71.39,6.86,134.77,17.45,282.93,4.98,250.85,116.92,268.64,281.57,256.54,257.83,397.5,171.1,387.66,19.88
Brighton & Hove Albion,77.1,221.29,124.14,71.39,0.0,69.33,201.49,59.66,347.68,68.86,321.3,157.62,339.65,346.57,325.22,326.07,468.88,242.03,459.03,82.56
Chelsea,9.95,162.78,141.81,6.86,69.33,0.0,139.76,11.81,288.05,2.24,252.08,111.87,271.79,286.65,260.81,262.23,399.98,174.39,389.93,16.11
Coventry City,137.38,27.22,191.92,134.77,201.49,139.76,0.0,151.57,148.34,139.01,162.79,184.96,147.95,146.91,124.38,124.82,281.17,59.92,274.34,135.48
Crystal Palace,17.49,174.51,142.95,17.45,59.66,11.81,151.57,0.0,299.85,12.72,261.76,111.86,282.99,298.46,272.52,273.97,410.7,185.7,400.48,22.93
Everton,285.68,126.41,309.49,282.93,347.68,288.05,148.34,299.85,0.0,287.26,177.55,318.01,102.21,2.85,53.52,47.3,194.4,135.78,196.13,283.61
Fulham,11.85,161.83,139.66,4.98,68.86,2.24,139.01,12.72,287.26,0.0,252.73,114.03,271.79,285.88,260.38,261.75,400.22,174.33,390.24,17.92
Hull City,244.27,170.76,349.42,250.85,321.3,252.08,162.79,261.76,177.55,252.73,0.0,213.65,79.25,174.69,124.36,130.76,159.02,103.02,145.78,239.03
Ipswich Town,102.56,212.17,253.69,116.92,157.62,111.87,184.96,111.86,318.01,114.03,213.65,0.0,264.31,315.82,275.38,279.2,372.65,182.89,359.36,97.2
Leeds United,266.13,142.59,338.79,268.64,339.65,271.79,147.95,282.99,102.21,271.79,79.25,264.31,0.0,99.41,52.82,58.94,133.23,97.61,126.95,262.1
Liverpool,284.2,125.28,309.38,281.57,346.57,286.65,146.91,298.46,2.85,285.88,174.69,315.82,99.41,0.0,50.69,44.48,192.58,133.47,194.13,282.08
Manchester City,256.86,110.32,306.53,256.54,325.22,260.81,124.38,272.52,53.52,260.38,124.36,275.38,52.82,50.69,0.0,6.42,170.17,93.27,167.7,253.85
Manchester United,258.5,109.5,304.89,257.83,326.07,262.23,124.82,273.97,47.3,261.75,130.76,279.2,58.94,44.48,6.42,0.0,173.73,96.63,171.74,255.62
Newcastle United,393.41,274.79,471.72,397.5,468.88,399.98,281.17,410.7,194.4,400.22,159.02,372.65,133.23,192.58,170.17,173.73,0.0,228.59,16.39,388.83
Nottingham Forest,169.05,69.71,249.9,171.1,242.03,174.39,59.92,185.7,135.78,174.33,103.02,182.89,97.61,133.47,93.27,96.63,228.59,0.0,220.18,165.28
Sunderland,383.12,269.44,465.68,387.66,459.03,389.93,274.34,400.48,196.13,390.24,145.78,359.36,126.95,194.13,167.7,171.74,16.39,220.18,0.0,378.4
Tottenham Hotspur,6.19,159.9,156.8,19.88,82.56,16.11,135.48,22.93,283.61,17.92,239.03,97.2,262.1,282.08,253.85,255.62,388.83,165.28,378.4,0.0
