club_a,club_b,distance_km
Chelsea,Fulham,2.24
Everton,Liverpool,2.85
Brentford,Fulham,4.98
Arsenal,Tottenham Hotspur,6.19
Manchester City,Manchester United,6.42
Brentford,Chelsea,6.86
Arsenal,Chelsea,9.95
Chelsea,Crystal Palace,11.81
Arsenal,Fulham,11.85
Crystal Palace,Fulham,12.72
Arsenal,Brentford,14.39
Chelsea,Tottenham Hotspur,16.11
Newcastle United,Sunderland,16.39
Brentford,Crystal Palace,17.45
Arsenal,Crystal Palace,17.49
Fulham,Tottenham Hotspur,17.92
Brentford,Tottenham Hotspur,19.88
Crystal Palace,Tottenham Hotspur,22.93
Aston Villa,Coventry City,27.22
Liverpool,Manchester United,44.48
Everton,Manchester United,47.3
Liverpool,Manchester City,50.69
Leeds United,Manchester City,52.82
Everton,Manchester City,53.52
Leeds United,Manchester United,58.94
Brighton & Hove Albion,Crystal Palace,59.66
Coventry City,Nottingham Forest,59.92
Brighton & Hove Albion,Fulham,68.86
Brighton & Hove Albion,Chelsea,69.33
Aston Villa,Nottingham Forest,69.71
Brentford,Brighton & Hove Albion,71.39
Arsenal,Brighton & Hove Albion,77.1
Hull City,Leeds United,79.25
Brighton & Hove Albion,Tottenham Hotspur,82.56
Manchester City,Nottingham Forest,93.27
Manchester United,Nottingham Forest,96.63
Ipswich Town,Tottenham Hotspur,97.2
Leeds United,Nottingham Forest,97.61
Leeds United,Liverpool,99.41
Everton,Leeds United,102.21
Arsenal,Ipswich Town,102.56
Hull City,Nottingham Forest,103.02
Aston Villa,Manchester United,109.5
Aston Villa,Manchester City,110.32
Crystal Palace,Ipswich Town,111.86
Chelsea,Ipswich Town,111.87
Fulham,Ipswich Town,114.03
Brentford,Ipswich Town,116.92
Bournemouth,Brighton & Hove Albion,124.14
Hull City,Manchester City,124.36
Coventry City,Manchester City,124.38
Coventry City,Manchester United,124.82
Aston Villa,Liverpool,125.28
Aston Villa,Everton,126.41
Leeds United,Sunderland,126.95
Hull City,Manchester United,130.76
Leeds United,Newcastle United,133.23
Liverpool,Nottingham Forest,133.47
Brentford,Coventry City,134.77
Coventry City,Tottenham Hotspur,135.48
Everton,Nottingham Forest,135.78
Bournemouth,Brentford,136.94
Arsenal,Coventry City,137.38
Coventry City,Fulham,139.01
Bournemouth,Fulham,139.66
Chelsea,Coventry City,139.76
Bournemouth,Chelsea,141.81
Aston Villa,Leeds United,142.59
Bournemouth,Crystal Palace,142.95
Hull City,Sunderland,145.78
Coventry City,Liverpool,146.91
Coventry City,Leeds United,147.95
Coventry City,Everton,148.34
Arsenal,Bournemouth,151.21
Coventry City,Crystal Palace,151.57
Bournemouth,Tottenham Hotspur,156.8
Aston Villa,Brentford,157.34
Brighton & Hove Albion,Ipswich Town,157.62
Hull City,Newcastle United,159.02
Aston Villa,Tottenham Hotspur,159.9
Arsenal,Aston Villa,161.3
Aston Villa,Fulham,161.83
Aston Villa,Chelsea,162.78
Coventry City,Hull City,162.79
Nottingham Forest,Tottenham Hotspur,165.28
Manchester City,Sunderland,167.7
Arsenal,Nottingham Forest,169.05
Manchester City,Newcastle United,170.17
Aston Villa,Hull City,170.76
Brentford,Nottingham Forest,171.1
Manchester United,Sunderland,171.74
Manchester United,Newcastle United,173.73
Fulham,Nottingham Forest,174.33
Chelsea,Nottingham Forest,174.39
Aston Villa,Crystal Palace,174.51
Hull City,Liverpool,174.69
Everton,Hull City,177.55
Ipswich Town,Nottingham Forest,182.89
Coventry City,Ipswich Town,184.96
Crystal Palace,Nottingham Forest,185.7
Bournemouth,Coventry City,191.92
Liverpool,Newcastle United,192.58
Liverpool,Sunderland,194.13
Everton,Newcastle United,194.4
Everton,Sunderland,196.13
Aston Villa,Bournemouth,197.27
Brighton & Hove Albion,Coventry City,201.49
Aston Villa,Ipswich Town,212.17
Hull City,Ipswich Town,213.65
Nottingham Forest,Sunderland,220.18
Aston Villa,Brighton & Hove Albion,221.29
Newcastle United,Nottingham Forest,228.59
Hull City,Tottenham Hotspur,239.03
Brighton & Hove Albion,Nottingham Forest,242.03
Arsenal,Hull City,244.27
Bournemouth,Nottingham Forest,249.9
Brentford,Hull City,250.85
Chelsea,Hull City,252.08
Fulham,Hull City,252.73
Bournemouth,Ipswich Town,253.69
