club,stadium,city,latitude,longitude,capacity
Arsenal,Emirates Stadium,London,51.555,-0.108611,60704
Aston Villa,Villa Park,Birmingham,52.509167,-1.884722,42918
Bournemouth,Vitality Stadium,Bournemouth,50.735278,-1.838333,11364
Brentford,Brentford Community Stadium,London,51.490715,-0.289048,17250
Brighton & Hove Albion,Falmer Stadium (Amex Stadium),Brighton and Hove,50.861822,-0.083278,31800
Chelsea,Stamford Bridge,London,51.481667,-0.191111,40343
Coventry City,Coventry Building Society Arena,Coventry,52.448056,-1.495556,32609
Crystal Palace,Selhurst Park,London,51.398333,-0.085556,25486
Everton,Hill Dickinson Stadium,Liverpool,53.4251,-3.0028,52769
Fulham,Craven Cottage,London,51.475,-0.221667,29600
Hull City,MKM Stadium,Kingston upon Hull,53.746111,-0.367778,24983
Ipswich Town,Portman Road,Ipswich,52.055061,1.144831,30056
Leeds United,Elland Road,Leeds,53.777778,-1.572222,37792
Liverpool,Anfield,Liverpool,53.430819,-2.960828,61276
Manchester City,Etihad Stadium,Manchester,53.482989,-2.200292,61038
Manchester United,Old Trafford,Manchester,53.463056,-2.291389,74310
Newcastle United,St James' Park,Newcastle upon Tyne,54.975556,-1.621667,52305
Nottingham Forest,City Ground,West Bridgford,52.94,-1.132778,30404
Sunderland,Stadium of Light,Sunderland,54.9144,-1.3882,48707
Tottenham Hotspur,Tottenham Hotspur Stadium,London,51.604252,-0.067007,62850
